ID,Name,Status,Recommendation,Legitimacy,Scam Score,Prize (ZAR),Prize Type,Effort,Draw Type,Usable,Barriers,Closing Date,Added,Filled At,Reason,URL
111,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://consumerrewards.co.za/cdn-cgi/l/email-protection
110,NIVEA Competition (consumerrewards.co.za/nivea),filled,review,6,10,,product,low,random,Yes,,,2026-04-19,2026-04-19,"ConsumerRewards.co.za is a known SA competition platform and NIVEA is a recognised brand, but the prize value is not stated on the page and there is no closing date listed. The hidden SMS field also suggests post-entry marketing messages, so proceed with a secondary email address.",https://consumerrewards.co.za/nivea
109,Pizza Party (consumerrewards.co.za/pizza-party),filled,enter,7,10,R500,experience,low,random,Yes,,,2026-04-19,2026-04-19,"ConsumerRewards is a recognised South African lead-generation competition platform with T&Cs and a privacy policy linked on the form. The pizza party prize is modest but usable, and entry requires only a simple multi-step form with no purchase or complex tasks.",https://consumerrewards.co.za/pizza-party
108,Win a R1500 Voucher from Checkers / Pick n Pay,filled,enter,7,10,"R1,500",voucher,low,random,Yes,,,2026-04-19,2026-04-19,"This is a Consumer Rewards lead-gen competition offering a R1500 Checkers/Pick n Pay voucher, which is highly usable for grocery shopping. The form is simple, T&Cs are linked, and the scam score is low, though the lack of a closing date and the data-harvesting nature of the platform are minor concerns.",https://consumerrewards.co.za/checkers-pnp
107,Cotton On Competition,filled,review,8,10,,voucher,low,random,Yes,,,2026-04-19,2026-04-19,"The competition is hosted on a legitimate South African rewards platform (consumerRewards.co.za) with T&Cs and privacy policy links visible, and Cotton On is a well-known brand. However, no prize value or closing date is specified, so it's worth reviewing before entering.",https://consumerrewards.co.za/cotton-on
106,Uber Eats Competition (via ConsumerRewards),filled,enter,8,10,"R2,000",voucher,low,random,Yes,,,2026-04-19,2026-04-19,"ConsumerRewards is a known South African lead-generation competition platform and Uber Eats is a recognised brand, making this a reasonably legitimate entry. The form is quick to complete with no purchase required, and Uber Eats vouchers are highly practical and usable in Cape Town.",https://consumerrewards.co.za/uber-eats
99,"Dream Big, Win Bigger – The Bed Centre's Luxury Bed Set Giveaway",filled,review,6,10,"R15,000",product,low,unknown,Yes,,,2026-04-19,2026-04-19,"The Bed Centre is a well-known South African retailer making the prize credible and usable, but there are no T&Cs, no closing date, and limited competition details visible on the page. Worth a quick human check before entering.",https://www.prized.co.za/homeware-decor/dream-big-win-bigger-the-bed-centres-luxury-bed-set-giveaway
98,Spread the Love: Win an Abby Backpack with Maribu Leather,skipped,review,6,10,"R1,500",product,low,unknown,Yes,,,2026-04-19,,"A Maribu Leather Abby backpack is a usable product for this household, and entry is simple via a name and email form. However, no T&Cs link or closing date is visible, and the sponsor brand has limited recognition, lowering confidence enough to warrant a human review before entering.",https://www.prized.co.za/clothing-fashion/spread-the-love-win-an-abby-backpack-with-maribu-leather
97,,skipped,skip,5,20,,unknown,low,unknown,No,,,2026-04-19,,"This page appears to be a newsletter subscription form for a pets/animals category on prized.co.za, with no actual competition details, prize information, T&Cs, sponsor, or closing date visible. The prize type and value are completely unknown, and pets/animals prizes are unlikely to be usable for this household.",https://www.prized.co.za/category/pets-animals
96,Win a Pet Care Hamper with Pet Food City,skipped,skip,6,10,R800,product,low,random,No,,,2026-04-19,,"The prize is a pet care hamper from Pet Food City, which is only useful if the household has pets — there is no indication the user owns any, so the prize is not usable. Additionally, no T&Cs or closing date are listed, reducing legitimacy.",https://www.prized.co.za/pets-animals/win-a-pet-care-hamper-with-pet-food-city
95,Win a Stunning Limited Edition Workout Set,skipped,review,6,10,R800,product,low,unknown,Yes,,,2026-04-19,,"The competition page shows only a basic email subscription form with no T&Cs, no recognisable sponsor brand, and no closing date, making it hard to verify legitimacy. The prize is a workout set which could be used by the user's wife, but the lack of competition details warrants a manual review before entering.",https://www.prized.co.za/clothing-fashion/win-a-stunning-limited-edition-workout-set
94,Prized.co.za Marketing Newsletter / Competition Subscription,skipped,skip,6,10,,unknown,low,unknown,No,,,2026-04-19,,"This page is a generic newsletter/marketing subscription form for Prized.co.za with no specific competition, prize, or T&Cs visible — it is not an actual competition entry. Since there is no identifiable prize, usable_for_you defaults to false and prize value is unknown, making this a skip.",https://www.prized.co.za/category/marketing
93,,skipped,,,0,,,,,,,,2026-04-19,,no entry form fields found,https://www.prized.co.za/marketing/win-a-viral-travel-hospitality-campaign
